File    - I:\INLS\PLATFORMS\CF\LITTLECREEK-26FEB2016 RUN 1\PITCH\995.PLT                                                                      
Analysis- Motion analysis time history -                                                                                                      
Section - Structure number 2                                                                                                                  
Variable- Fender line # 1 (1-6)                                                                                                               
Freedom - - total force                                                                                                                       
Time(seconds)                          ,Newtons                                 
       13.20000                        ,       141705.1    
       13.24000                        ,       0.000000    
       13.28000                        ,       0.000000    
       13.32000                        ,       0.000000    
       13.36000                        ,       0.000000    
       13.40000                        ,       0.000000    
       13.44000                        ,       0.000000    
       13.48000                        ,       0.000000    
       13.52000                        ,       0.000000    
       13.56000                        ,       0.000000    
       13.60000                        ,       0.000000    
       13.64000                        ,       0.000000    
       13.68000                        ,       203156.8    
       13.72000                        ,       333849.8    
       13.76000                        ,       430004.0    
       13.80000                        ,       473090.3    
       13.84000                        ,       487456.0    
       13.88000                        ,       471454.5    
       13.92000                        ,       422572.2    
       13.96000                        ,       330018.8    
       14.00000                        ,       306366.0    
       14.04000                        ,       249346.3    
       14.08000                        ,       78869.73    
       14.12000                        ,       0.000000    
       14.16000                        ,       56506.05    
       14.20000                        ,       311256.7    
       14.24000                        ,       376100.4    
       14.28000                        ,       300907.6    
       14.32000                        ,       166948.2    
       14.36000                        ,       92428.59    
       14.40000                        ,       109584.6    
       14.44000                        ,       104250.6    
       14.48000                        ,       38435.53    
       14.52000                        ,       0.000000    
       14.56000                        ,       0.000000    
       14.60000                        ,       0.000000    
       14.64000                        ,       16696.55    
       14.68000                        ,       36246.24    
       14.72000                        ,       23202.84    
       14.76000                        ,       0.000000    
       14.80000                        ,       0.000000    
       14.84000                        ,       0.000000    
       14.88000                        ,       108306.1    
       14.92000                        ,       180992.4    
       14.96000                        ,       132906.1    
       15.00000                        ,       62574.25    
       15.04000                        ,       61081.16    
       15.08000                        ,       47214.27    
       15.12000                        ,       0.000000    
       15.16000                        ,       0.000000    
       15.20000                        ,       0.000000    
       15.24000                        ,       0.000000    
       15.28000                        ,       0.000000    
       15.32000                        ,       0.000000    
       15.36000                        ,       43756.12    
       15.40000                        ,       52009.41    
       15.44000                        ,       66376.99    
       15.48000                        ,       99680.82    
       15.52000                        ,       94794.17    
       15.56000                        ,       20246.75    
       15.60000                        ,       0.000000    
       15.64000                        ,       0.000000    
       15.68000                        ,       0.000000    
       15.72000                        ,       0.000000    
       15.76000                        ,       0.000000    
       15.80000                        ,       0.000000    
       15.84000                        ,       0.000000    
       15.88000                        ,       0.000000    
       15.92000                        ,       0.000000    
       15.96000                        ,       0.000000    
       16.00000                        ,       0.000000    
       16.04000                        ,       0.000000    
       16.08000                        ,       0.000000    
       16.12000                        ,       49367.46    
       16.16000                        ,       68051.19    
       16.20000                        ,       44308.86    
       16.24000                        ,       27547.44    
       16.28000                        ,       73078.48    
       16.32000                        ,       76941.48    
       16.36000                        ,       31822.71    
       16.40000                        ,       0.000000    
       16.44000                        ,       0.000000    
       16.48000                        ,       0.000000    
       16.52000                        ,       14242.94    
       16.56000                        ,       63022.86    
       16.60000                        ,       75256.07    
       16.64000                        ,       54264.04    
       16.68000                        ,       12638.45    
       16.72000                        ,       0.000000    
       16.76000                        ,       14363.47    
       16.80000                        ,       52853.75    
       16.84000                        ,       72797.22    
       16.88000                        ,       62066.82    
       16.92000                        ,       31313.98    
       16.96000                        ,       14117.63    
       17.00000                        ,       24951.19    
       17.04000                        ,       47542.64    
       17.08000                        ,       59698.04    
       17.12000                        ,       53064.92    
       17.16000                        ,       30612.94    
       17.20000                        ,       16925.35    
       17.24000                        ,       24451.53    
       17.28000                        ,       39861.06    
       17.32000                        ,       92130.85    
       17.36000                        ,       134747.0    
       17.40000                        ,       123975.6    
       17.44000                        ,       67471.43    
       17.48000                        ,       24900.52    
       17.52000                        ,       176932.9    
       17.56000                        ,       246472.2    
       17.60000                        ,       271199.1    
       17.64000                        ,       267315.2    
       17.68000                        ,       226479.0    
       17.72000                        ,       166880.0    
       17.76000                        ,       136013.2    
       17.80000                        ,       215629.1    
       17.84000                        ,       224815.0    
       17.88000                        ,       163887.6    
       17.92000                        ,       187076.5    
       17.96000                        ,       185136.1    
       18.00000                        ,       169833.7    
       18.04000                        ,       136163.7    
       18.08000                        ,       112553.5    
       18.12000                        ,       96207.51    
       18.16000                        ,       85005.33    
       18.20000                        ,       76244.05    
       18.24000                        ,       62597.52    
       18.28000                        ,       46732.71    
       18.32000                        ,       41207.55    
       18.36000                        ,       38959.29    
       18.40000                        ,       38989.85    
       18.44000                        ,       42023.94    
       18.48000                        ,       46591.90    
       18.52000                        ,       53026.52    
       18.56000                        ,       66255.72    
       18.60000                        ,       86182.85    
       18.64000                        ,       104852.6    
       18.68000                        ,       125970.1    
       18.72000                        ,       146454.5    
       18.76000                        ,       168389.5    
       18.80000                        ,       191457.6    
       18.84000                        ,       213268.9    
       18.88000                        ,       229296.6    
       18.92000                        ,       243052.1    
       18.96000                        ,       255781.1    
       19.00000                        ,       265495.1    
       19.04000                        ,       275654.4    
       19.08000                        ,       283101.8    
       19.12000                        ,       291954.2    
       19.16000                        ,       298911.0    
       19.20000                        ,       304382.6    
       19.24000                        ,       309024.6    
       19.28000                        ,       313617.3    
       19.32000                        ,       315800.6    
       19.36000                        ,       316288.1    
       19.40000                        ,       312433.6    
       19.44000                        ,       306578.4    
       19.48000                        ,       302209.3    
       19.52000                        ,       294782.3    
       19.56000                        ,       285701.3    
       19.60000                        ,       275221.4    
       19.64000                        ,       262851.1    
       19.68000                        ,       247888.6    
       19.72000                        ,       231923.4    
       19.76000                        ,       217422.3    
       19.80000                        ,       201483.9    
       19.84000                        ,       183065.4    
       19.88000                        ,       153661.5    
       19.92000                        ,       121995.8    
       19.96000                        ,       94774.80    
       20.00000                        ,       67810.48    
       20.04000                        ,       38279.69    
       20.08000                        ,       18721.29    
       20.12000                        ,       14973.93    
       20.16000                        ,       32086.37    
       20.20000                        ,       46677.05    
       20.24000                        ,       50878.16    
       20.28000                        ,       65383.34    
       20.32000                        ,       88224.14    
       20.36000                        ,       105793.8    
       20.40000                        ,       113990.8    
       20.44000                        ,       119118.5    
       20.48000                        ,       113649.0    
       20.52000                        ,       97267.44    
       20.56000                        ,       82065.52    
       20.60000                        ,       75913.28    
       20.64000                        ,       70074.39    
       20.68000                        ,       73106.29    
       20.72000                        ,       121188.8    
       20.76000                        ,       146256.8    
       20.80000                        ,       182154.0    
       20.84000                        ,       192234.4    
       20.88000                        ,       183925.7    
       20.92000                        ,       174290.6    
       20.96000                        ,       173589.2    
       21.00000                        ,       167539.8    
       21.04000                        ,       148311.2    
       21.08000                        ,       110736.0    
       21.12000                        ,       77596.98    
       21.16000                        ,       71734.80    
       21.20000                        ,       70697.34    
       21.24000                        ,       51062.24    
       21.28000                        ,       38575.14    
       21.32000                        ,       53858.61    
       21.36000                        ,       70814.54    
       21.40000                        ,       77072.42    
       21.44000                        ,       77386.55    
       21.48000                        ,       88738.56    
       21.52000                        ,       89538.95    
       21.56000                        ,       79099.18    
       21.60000                        ,       58163.76    
       21.64000                        ,       33040.18    
       21.68000                        ,       26050.96    
       21.72000                        ,       15775.92    
       21.76000                        ,       9349.993    
       21.80000                        ,       7625.454    
       21.84000                        ,       16783.92    
       21.88000                        ,       26330.83    
       21.92000                        ,       23756.11    
       21.96000                        ,       24635.19    
       22.00000                        ,       19516.30    
       22.04000                        ,       13983.72    
       22.08000                        ,       8883.540    
       22.12000                        ,       14952.73    
       22.16000                        ,       24000.62    
       22.20000                        ,       26789.91    
       22.24000                        ,       24486.17    
       22.28000                        ,       27600.01    
       22.32000                        ,       34684.61    
       22.36000                        ,       37599.28    
       22.40000                        ,       40943.68    
       22.44000                        ,       119499.0    
       22.48000                        ,       212057.6    
       22.52000                        ,       231451.3    
       22.56000                        ,       177270.5    
       22.60000                        ,       54158.16    
       22.64000                        ,       31749.05    
